time exciting_prob fearful_prob tense_prob sad_prob relaxing_prob neutral_prob
0 0.0958 0.0728 0.0829 0.3692 0.0184 0.3609
1 0.0937 0.4360 0.3220 0.0670 0.0614 0.0199
2 0.0985 0.4412 0.2790 0.0266 0.1384 0.0163
3 0.1093 0.3607 0.2934 0.1105 0.0698 0.0563
4 0.1408 0.5077 0.1994 0.0124 0.1329 0.0069
5 0.1515 0.4794 0.1621 0.0658 0.1176 0.0237
6 0.3918 0.1308 0.1031 0.0899 0.1727 0.1118
7 0.3587 0.2132 0.0812 0.0469 0.1944 0.1057
8 0.3553 0.2085 0.1007 0.0936 0.1200 0.1219
9 0.3865 0.1392 0.0736 0.0457 0.2222 0.1329
10 0.3074 0.2022 0.0777 0.0681 0.2390 0.1056
11 0.3723 0.2140 0.0879 0.0587 0.1648 0.1023
12 0.3243 0.1812 0.1285 0.0629 0.2016 0.1015
13 0.2214 0.1340 0.0786 0.1402 0.1141 0.3117
14 0.2762 0.1330 0.1185 0.0740 0.1894 0.2090
15 0.2601 0.2004 0.1303 0.0689 0.1872 0.1531
16 0.2449 0.2793 0.0998 0.0268 0.2668 0.0824
17 0.2722 0.2765 0.0798 0.0381 0.2000 0.1333
18 0.2263 0.2819 0.0968 0.0607 0.1973 0.1370
19 0.3028 0.2766 0.1356 0.0382 0.1919 0.0549
20 0.2579 0.2197 0.1545 0.0596 0.2160 0.0924
21 0.1975 0.1447 0.1977 0.0764 0.2399 0.1438
22 0.2197 0.1701 0.0793 0.0440 0.3891 0.0978
23 0.3252 0.3062 0.0603 0.0397 0.1902 0.0784
24 0.3209 0.2174 0.0394 0.0664 0.2473 0.1087
25 0.2890 0.1911 0.0788 0.0616 0.2331 0.1464
26 0.2744 0.2710 0.1655 0.0405 0.1755 0.0730
27 0.1517 0.1069 0.0610 0.0855 0.3241 0.2708
28 0.3841 0.1775 0.0408 0.0519 0.1243 0.2214
29 0.2336 0.1487 0.0938 0.0757 0.1674 0.2808
30 0.2581 0.2042 0.1064 0.0710 0.2340 0.1263
