time exciting_prob fearful_prob tense_prob sad_prob relaxing_prob neutral_prob
0 0.8288 0.0255 0.0127 0.0379 0.0679 0.0271
1 0.8858 0.0239 0.0145 0.0164 0.0493 0.0101
2 0.8809 0.0131 0.0128 0.0500 0.0324 0.0108
3 0.8495 0.0295 0.0182 0.0184 0.0782 0.0062
4 0.7981 0.0476 0.0172 0.0425 0.0829 0.0117
5 0.8457 0.0426 0.0166 0.0270 0.0427 0.0253
6 0.5584 0.0278 0.0337 0.2127 0.1206 0.0467
7 0.6870 0.0272 0.0264 0.1080 0.1315 0.0198
8 0.7593 0.0565 0.0258 0.0534 0.0947 0.0104
9 0.8332 0.0628 0.0165 0.0316 0.0458 0.0100
10 0.8842 0.0300 0.0112 0.0344 0.0319 0.0083
11 0.7443 0.0521 0.0405 0.0932 0.0340 0.0359
12 0.4913 0.0915 0.0790 0.3120 0.0124 0.0138
13 0.2073 0.0717 0.0647 0.6313 0.0075 0.0175
14 0.2595 0.2026 0.2319 0.2858 0.0065 0.0137
15 0.1668 0.3436 0.1869 0.2602 0.0020 0.0405
16 0.2685 0.4178 0.0880 0.1443 0.0041 0.0773
17 0.1001 0.6748 0.1086 0.1040 0.0021 0.0104
18 0.2255 0.3941 0.1785 0.1664 0.0114 0.0240
19 0.1221 0.0862 0.1852 0.5523 0.0250 0.0292
20 0.5429 0.0978 0.0620 0.1854 0.0971 0.0148
21 0.5999 0.0564 0.0158 0.2028 0.1187 0.0064
22 0.6475 0.0465 0.0126 0.0815 0.2064 0.0055
23 0.3231 0.3682 0.2164 0.0793 0.0097 0.0033
24 0.2209 0.4852 0.1826 0.0941 0.0137 0.0036
25 0.2665 0.4003 0.1997 0.1061 0.0242 0.0033
26 0.1534 0.4262 0.2859 0.1048 0.0264 0.0034
27 0.3662 0.1465 0.0946 0.3277 0.0120 0.0529
28 0.2602 0.2023 0.1179 0.3460 0.0086 0.0650
29 0.4865 0.2383 0.0783 0.1758 0.0049 0.0162
30 0.6332 0.1143 0.0396 0.1655 0.0049 0.0425
31 0.4057 0.3092 0.0837 0.1604 0.0388 0.0022
32 0.4262 0.3283 0.0654 0.1437 0.0341 0.0022
33 0.5032 0.1923 0.0886 0.1680 0.0415 0.0063
34 0.3334 0.4134 0.0948 0.0834 0.0669 0.0082
35 0.5621 0.2191 0.1150 0.0870 0.0065 0.0102
36 0.5586 0.2054 0.0921 0.1206 0.0107 0.0127
37 0.2834 0.2611 0.2170 0.2046 0.0293 0.0047
38 0.3346 0.4311 0.1249 0.0938 0.0135 0.0021
39 0.4140 0.3017 0.1078 0.1597 0.0130 0.0039
40 0.1967 0.2061 0.3448 0.2377 0.0081 0.0065
41 0.1986 0.3198 0.3041 0.1604 0.0064 0.0107
42 0.2004 0.2968 0.3201 0.1683 0.0050 0.0095
43 0.2854 0.3548 0.1161 0.2288 0.0088 0.0062
44 0.4243 0.3728 0.0548 0.1371 0.0053 0.0056
45 0.2590 0.5640 0.0385 0.1320 0.0035 0.0029
46 0.3069 0.4338 0.0497 0.1963 0.0048 0.0085
47 0.0851 0.7394 0.1180 0.0471 0.0103 0.0001
48 0.2121 0.2911 0.0979 0.3577 0.0241 0.0171
49 0.1222 0.2998 0.0627 0.4904 0.0130 0.0118
50 0.1776 0.5011 0.0585 0.2321 0.0050 0.0257
51 0.1621 0.6920 0.0498 0.0730 0.0038 0.0192
52 0.4505 0.4784 0.0218 0.0197 0.0035 0.0261
53 0.5719 0.3392 0.0141 0.0250 0.0033 0.0465
54 0.4854 0.4175 0.0253 0.0340 0.0034 0.0344
55 0.4464 0.3819 0.0258 0.0262 0.0064 0.1133
56 0.4438 0.3164 0.0273 0.0493 0.0090 0.1542
